,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
1,"5,170,000","57,040","55,449","55,052","54,210","52,556","52,188","53,812","55,109","57,352","58,571","60,453","60,097","60,673","62,449","63,235","65,401","64,928","64,498","64,802","69,642","69,835","68,986","69,147","66,648","66,963","68,065","68,558","67,098","63,715","59,098","57,692","61,270","62,053","63,181","67,387","71,889","75,463","74,742","77,969","79,717","81,013","80,258","83,089","82,527","82,243","80,760","79,043","76,632","76,258","74,354","72,727","70,849","67,966","67,344","66,152","63,984","65,305","65,748","67,870","70,115","76,149","58,451","55,669","57,048","55,424","51,392","48,146","49,485","48,779","47,792","46,001","44,769","43,222","40,840","39,038","38,763","36,718","34,583","32,398","29,143","27,614","26,341","23,587","21,746","18,963","17,896","16,765","15,533","9,296","7,370","29,849"
1,"5,202,900","59,546","57,261","55,643","55,249","54,377","52,680","52,406","54,117","55,376","57,639","58,836","60,809","60,380","61,050","62,713","63,559","65,426","65,211","65,773","69,158","71,903","69,132","69,716","69,275","66,659","67,667","68,493","68,765","67,244","64,311","59,855","58,385","61,911","62,536","63,840","67,988","72,483","75,842","75,212","78,349","80,045","81,116","80,590","83,319","82,708","82,431","80,786","79,082","76,661","76,249","74,349","72,633","70,695","67,857","67,192","65,974","63,806","65,038","65,350","67,512","69,721","75,722","57,979","55,174","56,375","54,789","50,680","47,382","48,688","47,864","46,780","44,946","43,627","42,010","39,534","37,643","37,234","35,205","32,814","30,652","27,511","25,814","24,440","21,635","19,816","17,090","16,000","14,905","13,572","7,994","29,136"
1,"5,231,900","59,653","59,540","57,219","55,713","55,381","54,394","52,713","52,490","54,320","55,667","57,896","59,146","61,043","60,753","61,301","62,998","64,082","68,428","69,004","67,809","68,475","70,911","70,035","70,040","69,240","66,895","67,901","68,783","68,995","67,400","64,920","60,326","58,732","62,368","63,107","64,332","68,426","72,917","76,232","75,614","78,540","80,220","81,130","80,695","83,442","82,756","82,479","80,841","79,007","76,523","76,162","74,262","72,502","70,536","67,664","66,974","65,790","63,597","64,655","65,039","67,075","69,157","75,137","57,388","54,555","55,724","54,023","49,925","46,609","47,726","46,840","45,818","43,803","42,453","40,745","38,204","36,199","35,696","33,598","31,082","28,858","25,702","24,028","22,505","19,745","17,918","15,306","14,122","13,144","11,730","29,072"
1,"5,262,200","59,347","59,477","59,345","57,049","55,702","55,429","54,400","52,713","52,562","54,494","55,911","58,136","59,303","61,321","61,030","61,601","63,276","64,414","70,003","72,532","70,359","70,371","72,374","70,576","70,043","69,509","67,047","68,278","69,056","69,011","67,530","65,245","60,599","59,243","62,899","63,483","64,708","68,824","73,386","76,514","75,763","78,685","80,330","81,219","80,737","83,506","82,743","82,506","80,779","78,922","76,368","76,062","74,125","72,298","70,251","67,348","66,727","65,530","63,310","64,355","64,646","66,607","68,677","74,588","56,796","53,910","54,992","53,229","49,129","45,723","46,767","45,812","44,700","42,597","41,216","39,459","36,823","34,723","34,157","31,938","29,244","27,067","23,986","22,249","20,590","17,944","16,044","13,591","12,402","11,500","32,430"
1,"5,299,900","60,365","57,682","59,379","59,234","56,926","55,769","55,429","54,406","52,686","52,610","54,673","56,125","58,327","59,523","61,618","61,351","61,972","63,983","66,503","73,022","75,298","72,740","72,567","73,748","71,227","70,658","69,901","67,576","68,651","69,563","69,237","67,851","65,690","61,116","59,892","63,532","64,101","65,333","69,274","73,861","76,830","76,006","78,902","80,567","81,359","80,824","83,684","82,822","82,600","80,839","78,927","76,317","75,902","74,011","72,160","70,059","67,109","66,477","65,258","63,021","64,020","64,169","66,134","68,143","73,997","56,210","53,253","54,249","52,419","48,282","44,833","45,742","44,742","43,605","41,445","39,876","38,103","35,407","33,215","32,543","30,248","27,468","25,190","22,178","20,312","18,642","16,140","14,326","11,959","10,808","35,169"
1,"5,313,600","58,547","60,583","57,801","59,525","59,334","57,021","55,870","55,485","54,447","52,774","52,634","54,791","56,177","58,352","59,624","61,661","61,429","62,137","64,411","69,298","75,078","76,241","73,355","73,142","73,521","70,927","70,455","69,893","67,498","68,559","69,543","69,174","67,793","65,521","60,906","59,878","63,545","64,117","65,226","69,223","73,720","76,712","75,830","78,793","80,416","81,161","80,555","83,530","82,628","82,392","80,554","78,783","76,036","75,658","73,676","71,825","69,693","66,809","66,094","64,875","62,651","63,456","63,592","65,483","67,441","73,171","55,455","52,391","53,321","51,407","47,287","43,866","44,578","43,531","42,281","40,055","38,525","36,532","33,870","31,617","30,892","28,438","25,624","23,306","20,367","18,499","16,737","14,321","12,460","10,305","36,905"
1,"5,327,700","56,999","58,675","60,750","58,012","59,607","59,490","57,136","55,999","55,568","54,504","52,908","52,692","54,885","56,245","58,402","59,707","61,761","61,583","62,712","67,736","71,097","75,976","76,744","73,520","72,940","73,405","70,758","70,420","69,963","67,529","68,641","69,583","69,203","67,819","65,463","60,955","60,035","63,609","64,203","65,308","69,308","73,718","76,686","75,830","78,734","80,368","81,051","80,477","83,449","82,472","82,200","80,377","78,546","75,940","75,373","73,387","71,580","69,373","66,473","65,609","64,452","62,182","62,931","63,028","64,716","66,698","72,160","54,608","51,514","52,402","50,415","46,195","42,714","43,353","42,243","40,870","38,588","36,985","34,900","32,200","29,821","28,973","26,488","23,753","21,290","18,374","16,621","14,789","12,476","10,778","37,690"
1,"5,347,600","56,183","57,384","59,003","61,001","58,286","59,796","59,709","57,299","56,156","55,761","54,683","53,049","52,784","55,000","56,383","58,564","59,834","61,823","62,162","65,888","69,786","71,902","76,618","76,858","73,377","72,857","73,353","70,921","70,384","70,043","67,814","68,824","69,720","69,328","67,996","65,631","61,125","60,145","63,706","64,350","65,320","69,361","73,776","76,693","75,738","78,763","80,294","80,936","80,366","83,319","82,322","82,095","80,196","78,292","75,730","75,220","73,094","71,253","69,002","66,084","65,228","64,048","61,705","62,338","62,491","64,011","65,877","71,230","53,826","50,633","51,451","49,318","45,082","41,612","42,172","40,966","39,522","37,191","35,469","33,266","30,565","28,208","27,181","24,593","21,896","19,405","16,641","14,850","13,098","10,835","39,552"
1,"5,373,000","56,001","56,678","57,813","59,341","61,341","58,497","60,030","59,905","57,571","56,353","55,960","54,864","53,191","52,935","55,192","56,590","58,760","60,074","62,576","65,983","68,431","71,367","73,141","77,485","77,246","74,147","73,527","73,839","71,408","70,965","70,533","68,276","69,258","70,132","69,701","68,314","66,079","61,363","60,428","63,953","64,459","65,347","69,421","73,863","76,735","75,732","78,720","80,228","80,816","80,322","83,200","82,142","81,807","79,957","78,187","75,506","74,932","72,849","70,878","68,655","65,720","64,782","63,577","61,183","61,736","61,768","63,190","65,005","70,181","52,811","49,594","50,402","48,067","43,865","40,398","40,800","39,510","37,998","35,493","33,768","31,477","28,857","26,397","25,116","22,494","19,821","17,425","14,672","12,855","11,239","39,795"
1,"5,404,700","55,516","56,584","57,165","58,232","59,741","61,695","58,801","60,336","60,184","57,846","56,634","56,142","55,083","53,398","53,121","55,439","56,863","58,981","60,951","66,426","68,524","70,098","72,575","74,422","78,348","78,055","74,943","74,420","74,513","72,193","71,566","71,086","68,875","69,755","70,631","70,100","68,696","66,397","61,788","60,772","64,126","64,558","65,486","69,586","73,882","76,789","75,703","78,786","80,211","80,762","80,186","83,067","81,988","81,648","79,802","77,970","75,289","74,614","72,473","70,475","68,252","65,332","64,365","62,976","60,627","61,076","61,082","62,320","64,019","69,027","51,771","48,550","49,278","46,793","42,627","39,132","39,436","37,987","36,463","33,828","31,999","29,683","27,085","24,519","23,132","20,572","17,850","15,532","12,875","11,149","41,067"
1,"5,424,800","53,553","55,892","56,790","57,361","58,510","60,001","61,895","59,011","60,624","60,420","58,057","56,840","56,357","55,243","53,600","53,288","55,594","57,019","59,765","64,374","68,681","69,606","70,694","72,975","74,653","78,655","78,483","75,362","74,881","74,867","72,571","71,944","71,361","69,157","70,047","70,904","70,398","68,961","66,716","62,074","60,895","64,175","64,675","65,644","69,644","73,896","76,713","75,686","78,705","80,070","80,731","80,065","82,909","81,817","81,527","79,580","77,724","75,091","74,304","72,187","70,127","67,858","64,843","63,803","62,380","60,019","60,326","60,324","61,432","62,965","67,803","50,692","47,498","48,083","45,454","41,333","37,747","37,972","36,431","34,779","32,213","30,161","27,831","25,138","22,550","21,129","18,435","15,840","13,646","11,041","41,725"
1,"5,438,100","52,310","53,852","56,084","57,065","57,551","58,712","60,252","62,094","59,207","60,824","60,578","58,240","57,028","56,549","55,395","53,761","53,470","55,826","57,923","63,584","66,553","69,638","70,320","71,115","72,998","74,452","78,687","78,594","75,598","75,009","75,210","72,799","72,184","71,623","69,442","70,265","71,110","70,470","69,208","66,944","62,120","60,952","64,225","64,595","65,630","69,643","73,805","76,696","75,548","78,595","79,961","80,572","79,878","82,671","81,605","81,321","79,351","77,374","74,742","73,872","71,830","69,664","67,359","64,232","63,221","61,710","59,315","59,478","59,481","60,429","61,782","66,483","49,554","46,406","46,740","44,032","39,818","36,270","36,307","34,675","32,934","30,268","28,137","25,872","23,047","20,599","18,979","16,404","13,787","11,680","41,927"
1,"5,463,300","50,772","52,734","54,266","56,539","57,404","57,837","59,032","60,560","62,408","59,479","61,119","60,860","58,512","57,366","56,817","55,692","54,052","53,713","56,834","61,667","65,838","67,735","70,870","71,430","71,583","73,182","74,857","79,127","79,100","75,989","75,648","75,743","73,301","72,691","72,080","69,835","70,584","71,428","70,962","69,713","67,127","62,229","61,101","64,358","64,617","65,725","69,677","73,842","76,666","75,548","78,567","79,919","80,362","79,788","82,454","81,429","81,224","79,062","77,036","74,372","73,504","71,388","69,244","66,867","63,690","62,599","60,993","58,595","58,657","58,600","59,394","60,782","65,059","48,394","45,227","45,388","42,595","38,406","34,798","34,764","33,039","31,191","28,436","26,237","23,904","21,126","18,701","17,001","14,569","12,032","43,658"
1,"5,466,000","48,635","51,062","52,945","54,449","56,715","57,581","57,938","59,171","60,666","62,547","59,638","61,301","61,018","58,637","57,487","56,993","55,890","54,249","54,563","60,425","63,647","66,446","68,571","71,700","71,391","71,106","73,027","74,855","79,056","79,160","76,267","75,771","75,784","73,408","72,839","72,209","70,023","70,666","71,648","71,120","69,697","67,069","62,260","61,058","64,282","64,531","65,662","69,579","73,692","76,460","75,377","78,343","79,712","80,132","79,549","82,107","81,133","80,820","78,716","76,568","73,864","73,032","70,790","68,622","66,261","63,006","61,854","60,188","57,711","57,674","57,542","58,270","59,477","63,508","47,033","43,773","43,790","40,965","36,647","33,035","32,822","31,017","29,101","26,288","24,068","21,747","18,980","16,467","14,836","12,532","43,749"
